,F1_name,F1_value,F2_name,F2_value,F3_name,F3_value,F4_name,F4_value,F5_name,F5_value,label,code,title,url
0,정상,5.845839855485682,확진,5.564792858985074,기흥,5.564792858985074,가동,5.283745862484467,"…""",4.664198521785671,1,005930,"삼성전자 기흥사업장 코로나19 확진…""공장은 정상 가동""",https://finance.naver.com/item/news_read.nhn?article_id=0004700482&office_id=277&code=005930&page=7&sm=
0,지정,6.326292869403884,위험,6.326292869403884,보통주,6.326292869403884,…`,6.326292869403884,되나,6.045245872903275,-1,005930,보통주보다 9배 뛴 삼성重 우선주…`투자위험` 지정되나,https://finance.naver.com/item/news_read.nhn?article_id=0004661497&office_id=018&code=005930&page=29&sm=
0,수달,6.806745883322085,돌아온,6.806745883322085,완전,6.045245872903275,환경,5.457943749881411,공장,4.633386907888778,1,005930,"삼성전자, 반도체공장 매립 폐기물 '완전 제로'…수달도 돌아온 '환경 ...",https://finance.naver.com/item/news_read.nhn?article_id=0004360546&office_id=015&code=005930&page=16&sm=
0,COVID,5.691168532032104,주목,5.210715518113902,치료,4.803292848566265,도,4.497037722045008,경신,4.3228398346480645,1,068270,"'셀트리온' 52주 신고가 경신, COVID-19 치료제 사업도 주목 ...",https://finance.naver.com/item/news_read.nhn?article_id=0004356731&office_id=015&code=068270&page=12&sm=
0,판다,6.045245872903275,알보칠,5.845839855485682,화이,5.691168532032104,투,5.457943749881411,벤,5.457943749881411,1,068270,화이투벤·알보칠 셀트리온이 판다…첫 대형 M&A,https://finance.naver.com/item/news_read.nhn?article_id=0004423714&office_id=008&code=068270&page=6&sm=
0,색,5.691168532032104,버건디,5.210715518113902,드레서,5.144651535703873,에어,5.108737744687631,출시,4.1529338939705776,1,005930,"삼성전자, 버건디색 에어드레서 출시",https://finance.naver.com/item/news_read.nhn?article_id=0001686341&office_id=016&code=005930&page=17&sm=
0,4%,5.691168532032104,대,5.457943749881411,장,5.365386841567481,급락,5.283745862484467,중,5.084339845066873,-1,000660,[특징주] 삼성전자·SK하이닉스 장 중 4%대 급락,https://finance.naver.com/item/news_read.nhn?article_id=0004697004&office_id=277&code=000660&page=2&sm=
0,추진,4.803292848566265,IPO,4.803292848566265,자회사,4.730262504195701,이노,4.696443739462603,소재,4.633386907888778,-1,034730,"SK이노, 소재사업 자회사 IPO 추진",https://finance.naver.com/item/news_read.nhn?article_id=0004591976&office_id=009&code=034730&page=11&sm=
0,인정,5.845839855485682,만능,5.845839855485682,제품,5.283745862484467,"""...",5.144651535703873,英,5.028858467918577,-1,005930,"""만능 무선청소기""...삼성 '제트' 英시장서 제품성 인정",https://finance.naver.com/item/news_read.nhn?article_id=0004443908&office_id=014&code=005930&page=14&sm=
0,`,5.895484840424852,적용,5.365386841567481,가전제품,5.283745862484467,통합,4.97749073596321,나답,4.929668521613295,1,005930,"`이제는 가전을 나답게` 삼성, 가전제품 통합 슬로건 적용",https://finance.naver.com/item/news_read.nhn?article_id=0004596979&office_id=009&code=005930&page=11&sm=
0,프로비,6.326292869403884,엠,6.326292869403884,에코,6.326292869403884,스튜디오,6.045245872903275,드래곤,6.045245872903275,1,068270,[주식 초고수는 지금]스튜디오드래곤·에코프로비엠 집중 매수...셀트리온...,https://finance.naver.com/item/news_read.nhn?article_id=0003750727&office_id=011&code=068270&page=12&sm=
0,크는,6.806745883322085,모아,6.806745883322085,잔돈,6.326292869403884,쑥쑥,6.326292869403884,건,6.045245872903275,1,035720,쑥쑥 크는 '카카오 증권'…잔돈 모아 하루 5만건 투자,https://finance.naver.com/item/news_read.nhn?article_id=0004357874&office_id=015&code=035720&page=4&sm=
0,회복한,6.806745883322085,말,5.564792858985074,작년,5.365386841567481,株,5.365386841567481,총,4.803292848566265,1,005930,작년말 시총 회복한 삼성그룹株,https://finance.naver.com/item/news_read.nhn?article_id=0004359931&office_id=015&code=005930&page=19&sm=
0,대량,5.028858467918577,전일,4.730262504195701,경신,4.3228398346480645,외국인,4.285363292663862,매수,4.215990725544402,-1,068270,"'셀트리온' 52주 신고가 경신, 전일 외국인 대량 순매수",https://finance.naver.com/item/news_read.nhn?article_id=0004357313&office_id=015&code=068270&page=12&sm=
0,코스닥,6.806745883322085,150,6.806745883322085,0.39%,6.806745883322085,레버리지,5.845839855485682,18일,5.845839855485682,-1,096770,"18일, 기관 거래소에서 KODEX 코스닥150 레버리지(-0.39%)...",https://finance.naver.com/item/news_read.nhn?article_id=0004363458&office_id=015&code=096770&page=1&sm=
0,(+,7.3509508583952075,2.1,5.845839855485682,1.09%,5.564792858985074,09일,5.564792858985074,"),",4.548405454000376,-1,005930,"09일, 외국인 거래소에서 삼성전자(+1.09%), 삼성SDI(+2.1...",https://finance.naver.com/item/news_read.nhn?article_id=0004357175&office_id=015&code=005930&page=31&sm=
0,게임,8.538123839408883,헬퍼,6.806745883322085,만들자,6.806745883322085,덴마,6.806745883322085,챌,6.326292869403884,1,035420,"“웹툰 덴마·헬퍼를 게임으로 만들자”···네이버웹툰, 게임 챌린지 개최",https://finance.naver.com/item/news_read.nhn?article_id=0003754838&office_id=011&code=035420&page=2&sm=
0,깨끗해졌다,6.806745883322085,댓글,6.045245872903275,뉴스,6.045245872903275,카카오,3.775099970247965,,,-1,035720,카카오 뉴스 댓글 깨끗해졌다,https://finance.naver.com/item/news_read.nhn?article_id=0003755293&office_id=011&code=035720&page=1&sm=
0,오픈,6.326292869403884,구성원,6.326292869403884,회안,6.045245872903275,전용,6.045245872903275,몰,6.045245872903275,1,096770,"SK이노베이션, 구성원 참여 사회안전망 전용몰 '하이마켓' 오픈",https://finance.naver.com/item/news_read.nhn?article_id=0002225024&office_id=123&code=096770&page=2&sm=
0,유튜브,6.326292869403884,라이브,5.845839855485682,선물,5.457943749881411,환율,5.365386841567481,유가,5.210715518113902,1,005930,"삼성선물, 하반기 경제·환율·유가 전망 세미나 유튜브라이브로",https://finance.naver.com/item/news_read.nhn?article_id=0001686613&office_id=016&code=005930&page=16&sm=
0,파란,6.045245872903275,빼고,5.845839855485682,불,5.691168532032104,모두,5.691168532032104,4%,5.691168532032104,-1,000660,셀트리온 빼고 모두 '파란불'…SK하이닉스·LG화학 4%↓,https://finance.naver.com/item/news_read.nhn?article_id=0004423875&office_id=008&code=000660&page=2&sm=
